# Seismic Stations - names
# Code, Name
GUSW,  Sawariwau Village, Guyana
LUEV,  Luepa, Bolivar, Venezuela
MPG,   Montagne des Peres, French Guiana
PTGA,  Pitinga, Brazil
TOCV,  Tocomita, Bolivar, Venezuela
MDPV,  Penville, Dominica
MDMP,  Moore Park, Dominica
MBGE,  Galways Estate, Montserrat
MBBE,  Bethel, Montserrat
MBBY,  Broderick's Yard, Montserrat
MBFL,  Flemmings, Montserrat
MBFR,  Fergus Ridge, Montserrat
MBHA,  Harris, Montserrat
MVO,   Montserrat Observatory, Montserrat
DEG,   La Desirade, Martinique
FDF,   Fort de France, Guadeloupe 
MML,   Martinique
TBG,   Martinique
ATG,   Martinique
BR,    Brodericks
LL,    Lovers Lane
HARR,  Harris Lookout
MVO1,  MVO North
SSOU,  South Soufriere Hills
SPRI,  Spring Estate
WTYD,  White's Yard
MVOT,   Montserrat Volcano Observatory
MVOR,  Montserrat Volcano Observatory
MVOW,  Montserrat Volcano Observatory
SILV,  Silver Hills
FERG,  Fergus Ridge
GARI,  Garibaldi Hill
JACK,  Jack Boy Hill
UEA12, MVO Helipad
DT1,   Brodericks (DOAS site)
DT2,   Brades Primary School
DT3,   St. Johns (DMCA)
DT4,   Jack Boy Hill (camera)
DT5,   Plymouth, Police Headquarters
DT6,   Richmond Hill Sugar Mill
DT7,   St. Augustine Primary School
DT8,   Salem Clinic
DT9,   St. Georges Hill
DT10,  Vue Pointe Hotel
DT11,  Weekes (IDAS)
SAUG,  St. Augustine Primary School
SCLN,  Salem Climic
VUPT,  Vue Pointe Hotel
EDJH,  Jack Boy Hill
EDWR,  White River North
MIC1,  Microphone 1
MIC2,  Microphone 2
MIC3,  Microphone 3
MIC4,  Microphone 4
REDO,  Redonda
MSIL,  Silver Hills, Montserrat
MBOL,  Olveston, Montserrat
MBHE,  Hermitage Estate, Montserrat
MBGL,  Galways, Montserrat
MROD,  Rods House, Olveston, Montserrat
R8282, Shake, Dominica
S2625, Shake, Dominica
R3E0C, Shake, Dominica
RBA2A, Shake, Dominica
RBC24, Shake, Dominica
RDCDD, Shake, Dominica
RC13E, Shake, Dominica
R569B, Shake, Dominica
PSDMA, Soufriere, Dominica
PSDMB, Cotton Hill, Dominica
MSS1,  Scar 1
ABD,   La Joyeuse, Anse Bertrand, Guadeloupe
MPLT,  Montserrat
GRFF,  Fort Frederick, Grenada
SVGT,  Georgetown, St Vincent
TDBA,  Terre de Bas, Les Saintes, Guadeloupe
MOG,   Mont d'Or, Guadeloupe
DHS,   Morne Mazeau - Deshaies, Guadeloupe
DSD,   La Desirade, Guadeloupe
NEMO,  NEMO HQ, St Vincent
SSVA,  Summit Station2, St Vincent
CBE,   Capesterre Belles Eaux, Guadeloupe
SVWL,  Bamboo Range, St Vincent
SLBI,  Bisee, St Lucia
MSCS,  Chances Steps, Montserrat
MSGS,  Galways Saddle, Montserrat
MSUH,  Upper Hermitage, Montserrat
MSCP,  Chances Peak, Montserrat
42060, Station 42060, Caribbean Valley, 63 NM WSW of Montserrat
41044, Station 41044, NE St Martin, 330 NM NE of St Martin Is
41040, Station 41040, North Equatorial One, 470 NM East of Martinique
MSMX,  Molyneux, Montserrat
SVFH,  Fitz Hughes, St Vincent
SVGM,  Greiggs Mountain, St Vincent
MBWR,  White River, Montserrat
MSRE,  Ridge End, Montserrat
TRC2,  Erciyes Dag 2, Turkey
TRC3,  Erciyes Dag 3, Turkey
CDRO,  Cedros, Azores,Portugal
CMLA,  Cha da Macela, Azores,Portugal
EOSO,  Osorio, Spain
MACI,  Morro de la Arena, Canary Islands,Spain
MESC,  Monte Escuro, Azores,Portugal
ROSA,  Rosais, Azores,Portugal
SACV,  Santiago Island, Cape Verde Islands
SET3,  Pilar, Azores,Portugal
SVMA,  Madeiral, Cape Verde Islands
BIM,   Bigot, Martinique,France
DDOJ,  Jimmit, Dominica
DMLD,  Londonberry, Dominica
ILAM,  Ilet Lapin Martinique, Martinique,France
MAGL,  Barre de l'ile, St louis, Marie Galante, Guadeloupe,France
MPOM,  Morne Pois Martinique, Martinique,France
SBLM,  St Barthelemy, Guadeloupe
MAA1,  Array A1, Montserrat
MAA2,  Array A2, Montserrat
MAA3,  Array A3, Montserrat
MAB,   Array B, Montserrat
MAC1,  Array C1, Montserrat
MAC2,  Array C2, Montserrat
MAC3,  Array C3, Montserrat
MAD,   Array D, Montserrat
SGHWx, St Georges Hill weather station, Montserrat
LeesWx, Lees Yard weather station, Montserrat
HermWx, Hermitage weather station, Montserrat
TRPG,  Geralds Airport weather station, Montserrat
MSGA,  Gages Fan, Montserrat
MSA1,  Round Hill Array, Montserrat
MA1A0, Round Hill Array, Montserrat, element A0
MA1A1, Round Hill Array, Montserrat, element A1
MA1A2, Round Hill Array, Montserrat, element A2
MA1A3, Round Hill Array, Montserrat, element A3
MA1A4, Round Hill Array, Montserrat, element A4
MA1A5, Round Hill Array, Montserrat, element A5
MA1A6, Round Hill Array, Montserrat, element A6
MA1B1, Round Hill Array, Montserrat, element B1
MA1B2, Round Hill Array, Montserrat, element B2
MA1B3, Round Hill Array, Montserrat, element B3
MA1B4, Round Hill Array, Montserrat, element B4
MA1B5, Round Hill Array, Montserrat, element B5
MA1B6, Round Hill Array, Montserrat, element B6
MA1B7, Round Hill Array, Montserrat, element B7
MA1B8, Round Hill Array, Montserrat, element B8
MA1B9, Round Hill Array, Montserrat, element B9
MSA2,  Bramble Array, Montserrat
MA2A0, Bramble Array, Montserrat, element A0
MA2A1, Bramble Array, Montserrat, element A1
MA2A2, Bramble Array, Montserrat, element A2
MA2A3, Bramble Array, Montserrat, element A3
MA2A4, Bramble Array, Montserrat, element A4
MA2A5, Bramble Array, Montserrat, element A5
MA2A6, Bramble Array, Montserrat, element A6
MA2B1, Bramble Array, Montserrat, element B1
MA2B2, Bramble Array, Montserrat, element B2
MA2B3, Bramble Array, Montserrat, element B3
MA2B4, Bramble Array, Montserrat, element B4
MA2B5, Bramble Array, Montserrat, element B5
MA2B6, Bramble Array, Montserrat, element B6
MA2B7, Bramble Array, Montserrat, element B7
MA2B8, Bramble Array, Montserrat, element B8
MA2B9, Bramble Array, Montserrat, element B9
MBAM,  Amersham, Montserrat
MBCH,  Centre Hills, Montserrat
MBMO,  Mongo Hill, Montserrat
ON001, Oxford Node 001, at the top behind building,  near tree
ON002, Oxford Node 002, slightly off road
ON005, Oxford Node 005, by roundabout
ON006, Oxford Node 006, along road
ON007, Oxford Node 007, by house on the left
ON008, Oxford Node 008, before the tyre line
ON009, Oxford Node 009, by tree line,  midway between tyres,  base of trees
ON010, Oxford Node 010, in rise/hedge
ON011, Oxford Node 011, treeline,  end of road
ON012, Oxford Node 012, near well
ON013, Oxford Node 013, at the well (opposite)
ON014, Oxford Node 014, by the pipes of the well
ON015, Oxford Node 015, near the road (east of)
ON016, Oxford Node 016, north of crossroad
ON017, Oxford Node 017, west of the road
ON018, Oxford Node 018, east of road,  near the mining factory
ON019, Oxford Node 019, just after layby
ON020, Oxford Node 020, just before left turn
ON021, Oxford Node 021, along road
ON022, Oxford Node 022, after elberton road junction
ON023, Oxford Node 023, along road
ON024, Oxford Node 024, along road
ON025, Oxford Node 025, between junctions
ON026, Oxford Node 026, mining factory crossroad,  west of road
ON027, Oxford Node 027, near shed (east of road) / stop sign. Last one before zone V starts,  25 nodes along a 'linear' array that goes alongside mon-1
ON028, Oxford Node 028, right of road beyond the gate
ON029, Oxford Node 029, right of road
ON030, Oxford Node 030, outside gate
ON031, Oxford Node 031, right of road
ON032, Oxford Node 032, near to air quality equipments
ON033, Oxford Node 033, base of tree around 10m uphill from glass recycling
ON034, Oxford Node 034, montserrat museum,  in carpark by tree line. marked with flag
ON036, Oxford Node 036, silver hill,  by T-junction,  before treeline to the left,  marked 2m from lollipop stick
ON037, Oxford Node 037, entroute to silver hills. on bank next to layby near prickly bush
ON038, Oxford Node 038, Rosita's drive,  buried just off road,  Baizey's. Flag marked
ON040, Oxford Node 040, Near Margerita beach,  last hairpin of drive. Flag marked
ON041, Oxford Node 041, Along left of road if going downhill,  about 20m before bridge. marked with flag
ON042, Oxford Node 042, Past Jackboy Hill Nature gates. 20m before red container,  buried on left bank bfore left turning. Marked with flag
ON043, Oxford Node 043, Dick hill. At corner of road. LHS if looking up hill. Flag marked. Base of bigggest tree past banana trees
ON045, Oxford Node 045, Top of fogarthy hill,  by star fruit tree,  flag marked. Rhona from Salem's house
