# Seismic Stations - locations
# Code,    Lat,            Long,     Elev, Primary,   Date, Source
MCJ,   17.92300N,      -77.68700,     808,   n,           , Soufriere System file
MCLT,  13.709600,      -60.94120,     220,   n,           , Soufriere System file
MCP,   18.419000,      -67.11080,     250,   n,           , Soufriere System file
MCPT,  16.706800,      -62.18120,     759,   n,           , Soufriere System file
MDN,   15.318480,      -61.39228,     222.8, n, 2000-11-20, Soufriere System file (revised)
MDNE,  15.315810,      -61.39996,      99,   n,           , Soufriere System file
MDNN,  15.315810,      -61.39996,      99,   n,           , Soufriere System file
MDNV,  15.315810,      -61.39996,      99,   n,           , Soufriere System file
MDZ,  -32.883300,      -68.85000,     826,   n,           , Soufriere System file
MECU,  -0.537500,      -78.24417,    4090,   n,           , Soufriere System file
MEP,   18.149720,      -66.98333,     880,   n, 2003-04-01, Soufriere System file (revised)
MERV,   9.250000,      -66.30000,     168,   n,           , Soufriere System file
MGAT,  16.710170,      -62.18870,     479,   n,           , Soufriere System file
MGG,   15.918000,      -61.31683,      51,   n,           , Soufriere System file
MGH,   16.720000,      -62.21600,     351,   n,           , Soufriere System file
MGHZ,  16.742170,      -62.20683,     325,   n,           , Soufriere System file
MGP,   18.008333,      -67.09222,      60,   n,           , Soufriere System file
MHRV,  16.719500,      -62.17283,     483,   n,           , Soufriere System file
MJHT,  16.767200,      -62.16970,     149,   n,           , Soufriere System file
MLG,   16.033556,      -61.71055,     642,   n,           , Soufriere System file
MLGT,  16.725000,      -62.16233,     287,   n,           , Soufriere System file
MLM,   14.781000,      -61.18383,     370,   n,           , Soufriere System file
MLYT,  16.721330,      -62.19100,     355,   n,           , Soufriere System file
MOG,   16.061330,      -61.71033,     640,   n,           , Soufriere System file
MOLL,   7.735000,      -71.62900,     900,   n,           , Soufriere System file
MONV,  11.955000,      -69.97050,     239,   n,           , Soufriere System file
MOR,    10.87220,      -68.31600,       0,   n,           , Soufriere System file
MORO,  10.872830,      -68.32917,     284,   n,           , Soufriere System file
MOV,   18.282000,      -66.36667,     300,   n,           , Soufriere System file
MP,    16.708000,      -62.22400,       7,   n,           , Soufriere System file
MPEW,  16.708000,      -62.22366,      17,   n,           , Soufriere System file
MPLT,  16.708000,      -62.22400,      15,   y,           , Soufriere System file
MPNS,  16.708000,      -62.22400,       7,   n,           , Soufriere System file
MPR,   18.213333,      -67.13972,      25,   n,           , Soufriere System file
MPVE,  16.708000,      -62.22366,      17,   n,           , Soufriere System file
MRA,   10.323900,      -67.60790,    1200,   n,           , Soufriere System file
MRN,   18.01200N,      -63.06000,       0,   n,           , Soufriere System file
MRV,   10.872200,      -68.31600,     284,   n,           , Soufriere System file
MRYT,  16.703800,      -62.15320,     355,   n,           , Soufriere System file
MSAT,  16.748000,      -62.22100,      72,   n,           , Soufriere System file
MSG,   16.098667,      -61.72200,     851,   n,           , Soufriere System file
MSPT,  16.684000,      -62.19900,     127,   n,           , Soufriere System file
MSSZ,  16.688660,      -62.17283,     762,   n,           , Soufriere System file
MTP,   18.097222,      -65.55250,     175,   n,           , Soufriere System file
MVOV,  16.746500,      -62.22833,      80,   n,           , Soufriere System file
MVPV,  16.743166,      -62.24000,      17,   n,           , Soufriere System file
MWHT,  16.734000,      -62.19000,     350,   y,           , Soufriere System file
MWHZ,  16.735000,      -62.19000,     405,   n,           , Soufriere System file
MWI,   16.71300,       -62.22200,      46,   n,           , Soufriere System file
MZF,   46.215556,        2.58389,     480,   n,           , Soufriere System file
NCJ,   18.07500,       -76.71900,    1142,   n,           , Soufriere System file
NEBH,  17.131746,      -62.62441,      15,   n,           , Soufriere System file
NEV,   17.136110,      -62.57100,     244,   n,           , Soufriere System file
NEVB,  17.131746,      -62.62441,      15,   n,           , Soufriere System file (coords. from map)
NVBH,  17.116928,      -62.61682,      15,   n,           , Soufriere System file
NVRH,  17.183518,      -62.60005,     305,   n,           , Soufriere System file
OBA,   17.79200,       -61.02200,    -496,   n,           , Soufriere System file
OBS,   14.733330,      -61.15033,     510,   n,           , Soufriere System file
OHS,   13.31700,       -61.14800,     274,   n,           , Soufriere System file
OLL,   10.01900,       -66.80400,       0,   n,           , Soufriere System file
OLLA,  10.019000,      -66.80400,     947,   n,           , Soufriere System file
OLV,   10.019000,      -66.80400,     947,   n,           , Soufriere System file
ORIV,   9.069700,      -63.41800,     102,   n,           , Soufriere System file
PAG,   16.02967,       -61.68000,     670,   n,           , Soufriere System file
PAJ,   18.17000,       -76.45600,     201,   n,           , Soufriere System file
PAL,   10.20460,       -64.43880,       0,   n,           , Soufriere System file
PALM,  10.204600,      -64.43880,    1100,   n,           , Soufriere System file
PALR,  11.000000,      -63.91100,     920,   n,           , Soufriere System file
PAM,   14.613800,      -61.03630,     120,   n,           , Soufriere System file
PARV,   8.959170,      -64.79583,     186,   n,           , Soufriere System file
PAYV,  10.526800,      -67.54680,      91,   n,           , Soufriere System file
PCH,  -33.620800,      -70.51390,    1010,   n,           , Soufriere System file
PCJ,   17.742000,      -77.16900,     200,   n,           , Soufriere System file
PCM,   14.796830,      -61.14867,     730,   n,           , Soufriere System file
PCRV,  10.176200,      -64.63610,     400,   n,           , Soufriere System file
PCV,   10.204600,      -64.43880,    1100,   n,           , Soufriere System file
PECU,  -0.395000,      -78.60250,    3550,   n,           , Soufriere System file
PEL,  -33.143600,      -70.68530,     690,   n,           , Soufriere System file
PGV,    9.874000,      -67.50240,    1930,   n,           , Soufriere System file
PIG,   11.16100,       -60.84100,       0,   n,           , Soufriere System file
PLAT,   9.874000,      -67.50233,    1830,   n,           , Soufriere System file
PLDF,  45.969833,        3.62117,     940,   n,           , Soufriere System file
PLM,   10.20800,       -64.44000,       0,   n,           , Soufriere System file
PLS,   10.41300,       -61.49000,       0,   n,           , Soufriere System file
PLY,   11.21700,       -60.77900,       9,   n,           , Soufriere System file
PMR,   11.00000,       -63.91100,       0,   n,           , Soufriere System file
PNP,   18.058300,      -66.68360,     200,   n,           , Soufriere System file
PORP,  18.061111,      -66.63611,     165,   n,           , Soufriere System file
PRG,   16.036200,      -61.66217,    1070,   n,           , Soufriere System file
PRJ,   17.93519,       -76.84383,       2,   n,           , Soufriere System file
PRM,   34.08333,       -82.36333,     254,   n,           , Soufriere System file
PUDO,  11.013330,      -63.88117,     634,   n,           , Soufriere System file
PURC,   2.322167,      -76.36167,    3950,   n,           , Soufriere System file
PWP,   18.13500,       -65.44500,       0,   n,           , Soufriere System file
QARV,  10.206100,      -70.52550,     548,   n,           , Soufriere System file
RCC,   19.99417,       -75.69583,     100,   n,           , Soufriere System file
RECU,  -0.638667,      -78.40083,    4060,   n,           , Soufriere System file
RFA,  -34.770700,      -68.46580,     850,   n,           , Soufriere System file
RMG,   16.044300,      -61.66570,    1150,   n,           , Soufriere System file
ROCH, -32.971900,      -71.01110,    2000,   n,           , Soufriere System file
ROF,   47.680611,        6.90081,     500,   n,           , Soufriere System file
RQV,   11.957800,      -66.67420,      20,   n,           , Soufriere System file
RRD,   18.23600,       -65.61800,       0,   n,           , Soufriere System file
RSDV,   8.886100,      -70.63330,    1580,   n,           , Soufriere System file
RSV,   13.30700,       -61.23600,       8,   n,           , Soufriere System file
RTOV,   9.792500,      -69.79250,     650,   n,           , Soufriere System file
SAB,   17.617000,      -63.23333,     880,   n,           , Soufriere System file
SABA,  17.617000,      -63.23300,     880,   n,           , Soufriere System file
SABS,  17.620580,      -63.24300,     500,   n,           , Soufriere System file
SABT,  17.620500,      -63.24300,     880,   n,           , GPS - ss time server (Soufriere System file)
SAFE,  10.207000,      -64.43967,     846,   n,           , Soufriere System file
SAM,   14.84000,       -61.16783,     510,   n,           , Soufriere System file
SANV,   9.501000,      -69.53650,    1083,   n,           , Soufriere System file
SBN,   17.63700,       -63.23778,     870,   n,           , Soufriere System file
SCG,   16.02889,       -61.68100,     646,   n,           , Soufriere System file
SCRV,   7.788900,      -72.19170,     818,   n,           , Soufriere System file
SCV,   17.78200,       -64.78900,       0,   n,           , Soufriere System file
SCVI,  17.782000,      -64.78900,       0,   n,           , Soufriere System file (coordinates of SCV)
SDD,   18.45789,       -69.91342,      10,   n,           , Soufriere System file
SDV,    8.886100,      -70.63333,    1580,   n,           , Soufriere System file
SEG,   16.402830,      -61.50517,      60,   n,           , Soufriere System file
SFAN,  13.383796,      -61.17211,     229,   n,           , Soufriere System file
SFG,   16.25333,       -61.19650,      10,   n,           , Soufriere System file
SIG,   11.17135,       -60.77079,      80,   n,           , Soufriere System file
SIH,   11.17135,      -136.91408,      80,   n,           , Soufriere System file
SIP,   10.142900,      -61.50603,      60,   n,           , Soufriere System file (elev. to be revised)
